Organization,Location,ZIP Code,Website,Tags,Description,Cooperative Extension?,URL Audit Status,URL Audit Notes
Pollinator Pathway,"Hartford, CT",06106,pollinator-pathway.org,"Native Plants, Pollinator Habitat, Habitat Restoration, Environmental Education","Pollinator Pathway helps Connecticut communities connect yards, parks, and public spaces into continuous pollinator-friendly habitat.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UConn Master Gardener Program,"Hartford, CT",06106,mastergardener.uconn.edu,"Cooperative Extension, Native Plants, Environmental Education, Gardening & Agriculture","UConn Master Gardeners provide science-based guidance on pollinator-friendly gardening, insects, and native plants throughout central Connecticut.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Cedar County,"Hartington, NE",68739,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Cedar County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Cedar County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Clemson Cooperative Extension — Darlington County,"Hartsville, SC",29550,clemson.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Clemson Cooperative Extension — Darlington County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Darlington County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Trousdale County,"Hartsville, TN",37022,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Trousdale County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Trousdale County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Hart County,"Hartwell, GA",30643,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Hart County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hart County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NDSU Extension — Wells County,"Harvey, ND",58341,ndsu.edu/agriculture/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NDSU Extension — Wells County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wells County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Haskell County,"Haskell, TX",79521,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Haskell County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Haskell County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Barry County,"Hastings, MI",49058,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Barry County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Barry County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Adams County,"Hastings, NE",68901,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Adams County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Adams County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Forrest County,"Hattiesburg, MS",39401,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Forrest County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Forrest County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Mason County,"Havana, IL",62644,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Mason County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mason County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Kiowa County,"Haviland, KS",67059,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Kiowa County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Kiowa County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Montana State University Extension — Hill County,"Havre, MT",59501,montana.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Montana State University Extension — Hill County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hill County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Pulaski County,"Hawkinsville, GA",31036,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Pulaski County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pulaski County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
"University of Nevada, Reno Extension — Mineral County","Hawthorne, NV",89415,extension.unr.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Nevada, Reno Extension — Mineral County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mineral County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Hayes County,"Hayes Center, NE",69032,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Hayes County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hayes County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Clay County,"Hayesville, NC",28904,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Clay County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Clay County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Ellis County,"Hays, KS",67601,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Ellis County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Ellis County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UW-Madison Division of Extension — Sawyer County,"Hayward, WI",54843,extension.wisc.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UW-Madison Division of Extension — Sawyer County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Sawyer County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Perry County,"Hazard, KY",41701,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Perry County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Perry County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Arkansas Cooperative Extension Service — Prairie County,"Hazen, AR",72064,uaex.uada.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Arkansas Cooperative Extension Service — Prairie County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Prairie County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Jeff Davis County,"Hazlehurst, GA",31539,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Jeff Davis County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jeff Davis County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Henry County,"Headland, AL",36345,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Henry County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Henry County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Robertson County,"Hearne, TX",77859,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Robertson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Robertson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Northumberland County,"Heathsville, VA",22473,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Northumberland County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Northumberland County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Jim Hogg County,"Hebbronville, TX",78361,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Jim Hogg County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jim Hogg County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Arkansas Cooperative Extension Service — Cleburne County,"Heber Springs, AR",72543,uaex.uada.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Arkansas Cooperative Extension Service — Cleburne County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Cleburne County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Utah State University Extension — Wasatch County,"Heber, UT",84032,extension.usu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Utah State University Extension — Wasatch County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wasatch County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Thayer County,"Hebron, NE",68370,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Thayer County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Thayer County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Cleburne County,"Heflin, AL",36264,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Cleburne County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Cleburne County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Montana State University Extension — Lewis and Clark County,"Helena, MT",59601,montana.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Montana State University Extension — Lewis and Clark County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lewis and Clark County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Arkansas Cooperative Extension Service — Phillips County,"Helena-West Helena, AR",72390,uaex.uada.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Arkansas Cooperative Extension Service — Phillips County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Phillips County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Sabine County,"Hemphill, TX",75948,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Sabine County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Sabine County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Henderson County,"Henderson, KY",42420,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Henderson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Henderson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Vance County,"Henderson, NC",27536,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Vance County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Vance County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Chester County,"Henderson, TN",38340,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Chester County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Chester County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Rusk County,"Henderson, TX",75652,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Rusk County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Rusk County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Henderson County,"Hendersonville, NC",28792,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Henderson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Henderson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Sumner County,"Hendersonville, TN",37075,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Sumner County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Sumner County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Clay County,"Henrietta, TX",76365,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Clay County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Clay County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Marshall County,"Henry, IL",61537,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Marshall County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Marshall County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Deaf Smith County,"Hereford, TX",79045,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Deaf Smith County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Deaf Smith County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oregon State University Extension — Umatilla County,"Hermiston, OR",97838,extension.oregonstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oregon State University Extension — Umatilla County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Umatilla County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Hickory County,"Hermitage, MO",65668,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Hickory County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hickory County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Penn State Extension — Mercer County,"Hermitage, PA",16148,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Mercer County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mercer County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Fairfax County,"Herndon, VA",20170,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Fairfax County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Fairfax County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
SDSU Extension — Campbell County,"Herreid, SD",57632,extension.sdstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","SDSU Extension — Campbell County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Campbell County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Perquimans County,"Hertford, NC",27944,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Perquimans County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Perquimans County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NDSU Extension — Adams County,"Hettinger, ND",58639,ndsu.edu/agriculture/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NDSU Extension — Adams County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Adams County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Brown County,"Hiawatha, KS",66434,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Brown County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Brown County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Benton County,"Hickory Flat, MS",38633,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Benton County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Benton County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Catawba County,"Hickory, NC",28601,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Catawba County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Catawba County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
SDSU Extension — Hyde County,"Highmore, SD",57345,extension.sdstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","SDSU Extension — Hyde County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hyde County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Graham County,"Hill City, KS",67642,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Graham County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Graham County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Montmorency County,"Hillman, MI",49746,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Montmorency County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Montmorency County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Marion County,"Hillsboro, KS",67063,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Marion County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Marion County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Highland County,"Hillsboro, OH",45133,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Highland County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Highland County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oregon State University Extension — Washington County,"Hillsboro, OR",97006,extension.oregonstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oregon State University Extension — Washington County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Washington County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Hill County,"Hillsboro, TX",76645,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Hill County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hill County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Hillsdale County,"Hillsdale, MI",49242,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Hillsdale County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hillsdale County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Carroll County,"Hillsville, VA",24343,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Carroll County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carroll County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Clemson Cooperative Extension — Beaufort County,"Hilton Head Island, SC",29928,clemson.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Clemson Cooperative Extension — Beaufort County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Beaufort County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Knott County,"Hindman, KY",41822,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Knott County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Knott County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Liberty County,"Hinesville, GA",31313,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Liberty County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Liberty County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
WVU Extension — Summers County,"Hinton, WV",25951,extension.wvu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","WVU Extension — Summers County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Summers County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oklahoma State University Extension — Kiowa County,"Hobart, OK",73651,extension.okstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oklahoma State University Extension — Kiowa County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Kiowa County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NMSU Cooperative Extension Service — Lea County,"Hobbs, NM",88240,aces.nmsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NMSU Cooperative Extension Service — Lea County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lea County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Larue County,"Hodgenville, KY",42748,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Larue County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Larue County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Lewis County,"Hohenwald, TN",38462,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Lewis County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lewis County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oklahoma State University Extension — Hughes County,"Holdenville, OK",74848,extension.okstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oklahoma State University Extension — Hughes County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hughes County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Phelps County,"Holdrege, NE",68949,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Phelps County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Phelps County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Ottawa County,"Holland, MI",49423,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Ottawa County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Ottawa County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oklahoma State University Extension — Harmon County,"Hollis, OK",73550,extension.okstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oklahoma State University Extension — Harmon County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Harmon County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UC Cooperative Extension — San Benito County,"Hollister, CA",95023,ucanr.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UC Cooperative Extension — San Benito County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for San Benito County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Marshall County,"Holly Springs, MS",38635,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Marshall County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Marshall County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
